x dist ,y dist ,func value
0 ,0 ,1.16366e-10
0 ,0.0322581 ,4.69988e-10
0 ,0.0645161 ,1.76123e-09
0 ,0.0967742 ,6.03021e-09
0 ,0.129032 ,1.88425e-08
0 ,0.16129 ,5.36901e-08
0 ,0.193548 ,1.39409e-07
0 ,0.225806 ,3.29648e-07
0 ,0.258065 ,7.0944e-07
0 ,0.290323 ,1.38887e-06
0 ,0.322581 ,2.47226e-06
0 ,0.354839 ,3.99984e-06
0 ,0.387097 ,5.87987e-06
0 ,0.419355 ,7.85162e-06
0 ,0.451613 ,9.52211e-06
0 ,0.483871 ,1.04866e-05
0 ,0.516129 ,1.04866e-05
0 ,0.548387 ,9.52217e-06
0 ,0.580645 ,7.85169e-06
0 ,0.612903 ,5.87993e-06
0 ,0.645161 ,3.99987e-06
0 ,0.677419 ,2.47228e-06
0 ,0.709677 ,1.38888e-06
0 ,0.741935 ,7.09442e-07
0 ,0.774194 ,3.29649e-07
0 ,0.806452 ,1.3941e-07
0 ,0.83871 ,5.369e-08
0 ,0.870968 ,1.88415e-08
0 ,0.903226 ,6.02016e-09
0 ,0.935484 ,1.68422e-09
0 ,0.967742 ,6.6148e-11
0 ,1 ,3.68499e-11
0.0322581 ,0 ,4.69988e-10
0.0322581 ,0.0322581 ,1.89071e-09
0.0322581 ,0.0645161 ,7.07302e-09
0.0322581 ,0.0967742 ,2.41785e-08
0.0322581 ,0.129032 ,7.54368e-08
0.0322581 ,0.16129 ,2.1465e-07
0.0322581 ,0.193548 ,5.56628e-07
0.0322581 ,0.225806 ,1.31464e-06
0.0322581 ,0.258065 ,2.82624e-06
0.0322581 ,0.290323 ,5.5277e-06
0.0322581 ,0.322581 ,9.83148e-06
0.0322581 ,0.354839 ,1.58952e-05
0.0322581 ,0.387097 ,2.33533e-05
0.0322581 ,0.419355 ,3.11713e-05
0.0322581 ,0.451613 ,3.77925e-05
0.0322581 ,0.483871 ,4.16146e-05
0.0322581 ,0.516129 ,4.16149e-05
0.0322581 ,0.548387 ,3.77932e-05
0.0322581 ,0.580645 ,3.11721e-05
0.0322581 ,0.612903 ,2.33539e-05
0.0322581 ,0.645161 ,1.58956e-05
0.0322581 ,0.677419 ,9.83167e-06
0.0322581 ,0.709677 ,5.52777e-06
0.0322581 ,0.741935 ,2.82627e-06
0.0322581 ,0.774194 ,1.31465e-06
0.0322581 ,0.806452 ,5.56629e-07
0.0322581 ,0.83871 ,2.1465e-07
0.0322581 ,0.870968 ,7.54328e-08
0.0322581 ,0.903226 ,2.41383e-08
0.0322581 ,0.935484 ,6.76668e-09
0.0322581 ,0.967742 ,3.15062e-10
0.0322581 ,1 ,1.5548e-10
0.0645161 ,0 ,1.76123e-09
0.0645161 ,0.0322581 ,7.07302e-09
0.0645161 ,0.0645161 ,2.64492e-08
0.0645161 ,0.0967742 ,9.03846e-08
0.0645161 ,0.129032 ,2.81915e-07
0.0645161 ,0.16129 ,8.01948e-07
0.0645161 ,0.193548 ,2.07909e-06
0.0645161 ,0.225806 ,4.90932e-06
0.0645161 ,0.258065 ,1.0552e-05
0.0645161 ,0.290323 ,2.06344e-05
0.0645161 ,0.322581 ,3.66941e-05
0.0645161 ,0.354839 ,5.93173e-05
0.0645161 ,0.387097 ,8.71385e-05
0.0645161 ,0.419355 ,0.000116299
0.0645161 ,0.451613 ,0.000140993
0.0645161 ,0.483871 ,0.000155248
0.0645161 ,0.516129 ,0.000155251
0.0645161 ,0.548387 ,0.000141
0.0645161 ,0.580645 ,0.000116307
0.0645161 ,0.612903 ,8.71449e-05
0.0645161 ,0.645161 ,5.93212e-05
0.0645161 ,0.677419 ,3.66961e-05
0.0645161 ,0.709677 ,2.06352e-05
0.0645161 ,0.741935 ,1.05523e-05
0.0645161 ,0.774194 ,4.90939e-06
0.0645161 ,0.806452 ,2.07911e-06
0.0645161 ,0.83871 ,8.0195e-07
0.0645161 ,0.870968 ,2.819e-07
0.0645161 ,0.903226 ,9.0236e-08
0.0645161 ,0.935484 ,2.53183e-08
0.0645161 ,0.967742 ,1.35233e-09
0.0645161 ,1 ,5.99236e-10
0.0967742 ,0 ,6.03021e-09
0.0967742 ,0.0322581 ,2.41785e-08
0.0967742 ,0.0645161 ,9.03846e-08
0.0967742 ,0.0967742 ,3.08786e-07
0.0967742 ,0.129032 ,9.62883e-07
0.0967742 ,0.16129 ,2.73845e-06
0.0967742 ,0.193548 ,7.0981e-06
0.0967742 ,0.225806 ,1.67574e-05
0.0967742 ,0.258065 ,3.60116e-05
0.0967742 ,0.290323 ,7.04085e-05
0.0967742 ,0.322581 ,0.000125186
0.0967742 ,0.354839 ,0.000202335
0.0967742 ,0.387097 ,0.000297191
0.0967742 ,0.419355 ,0.000396596
0.0967742 ,0.451613 ,0.00048077
0.0967742 ,0.483871 ,0.000529364
0.0967742 ,0.516129 ,0.00052939
0.0967742 ,0.548387 ,0.000480833
0.0967742 ,0.580645 ,0.000396669
0.0967742 ,0.612903 ,0.00029725
0.0967742 ,0.645161 ,0.000202371
0.0967742 ,0.677419 ,0.000125204
0.0967742 ,0.709677 ,7.04157e-05
0.0967742 ,0.741935 ,3.6014e-05
0.0967742 ,0.774194 ,1.6758e-05
0.0967742 ,0.806452 ,7.09825e-06
0.0967742 ,0.83871 ,2.73847e-06
0.0967742 ,0.870968 ,9.62836e-07
0.0967742 ,0.903226 ,3.08284e-07
0.0967742 ,0.935484 ,8.657e-08
0.0967742 ,0.967742 ,5.23092e-09
0.0967742 ,1 ,2.10671e-09
0.129032 ,0 ,1.88425e-08
0.129032 ,0.0322581 ,7.54368e-08
0.129032 ,0.0645161 ,2.81915e-07
0.129032 ,0.0967742 ,9.62883e-07
0.129032 ,0.129032 ,3.00186e-06
0.129032 ,0.16129 ,8.53552e-06
0.129032 ,0.193548 ,2.21199e-05
0.129032 ,0.225806 ,5.22112e-05
0.129032 ,0.258065 ,0.00011218
0.129032 ,0.290323 ,0.000219283
0.129032 ,0.322581 ,0.000389796
0.129032 ,0.354839 ,0.000629865
0.129032 ,0.387097 ,0.000924934
0.129032 ,0.419355 ,0.00123407
0.129032 ,0.451613 ,0.0014958
0.129032 ,0.483871 ,0.00164695
0.129032 ,0.516129 ,0.00164715
0.129032 ,0.548387 ,0.0014963
0.129032 ,0.580645 ,0.00123464
0.129032 ,0.612903 ,0.000925398
0.129032 ,0.645161 ,0.000630153
0.129032 ,0.677419 ,0.000389937
0.129032 ,0.709677 ,0.00021934
0.129032 ,0.741935 ,0.000112198
0.129032 ,0.774194 ,5.22162e-05
