x dist ,func value
0 ,3.6691e-06
0.111111 ,0.000307324
0.222222 ,0.0108364
0.333333 ,0.0112884
0.444444 ,-0.000410758
0.555556 ,-1.59549e-08
0.666667 ,1.1024
0.777778 ,1.11943
0.888889 ,0.000519976
1 ,3.7643e-06
