x dist ,y dist ,func value
0 ,0 ,1.3638e-12
0 ,0.0322581 ,5.13225e-12
0 ,0.0645161 ,2.47949e-11
0 ,0.0967742 ,1.07443e-10
0 ,0.129032 ,4.15723e-10
0 ,0.16129 ,1.43754e-09
0 ,0.193548 ,4.44644e-09
0 ,0.225806 ,1.23129e-08
0 ,0.258065 ,3.05508e-08
0 ,0.290323 ,6.79731e-08
0 ,0.322581 ,1.35715e-07
0 ,0.354839 ,2.43334e-07
0 ,0.387097 ,3.92062e-07
0 ,0.419355 ,5.68023e-07
0 ,0.451613 ,7.40471e-07
0 ,0.483871 ,8.69053e-07
0 ,0.516129 ,9.18846e-07
0 ,0.548387 ,8.757e-07
0 ,0.580645 ,7.52739e-07
0 ,0.612903 ,5.83945e-07
0 ,0.645161 ,4.09078e-07
0 ,0.677419 ,2.58954e-07
0 ,0.709677 ,1.48221e-07
0 ,0.741935 ,7.67649e-08
0 ,0.774194 ,3.59996e-08
0 ,0.806452 ,1.52984e-08
0 ,0.83871 ,5.89606e-09
0 ,0.870968 ,2.06266e-09
0 ,0.903226 ,6.55043e-10
0 ,0.935484 ,1.9319e-10
0 ,0.967742 ,6.6148e-11
0 ,1 ,4.64941e-12
0.0322581 ,0 ,5.13225e-12
0.0322581 ,0.0322581 ,1.39769e-11
0.0322581 ,0.0645161 ,7.08989e-11
0.0322581 ,0.0967742 ,3.22666e-10
0.0322581 ,0.129032 ,1.30194e-09
0.0322581 ,0.16129 ,4.66756e-09
0.0322581 ,0.193548 ,1.48977e-08
0.0322581 ,0.225806 ,4.24065e-08
0.0322581 ,0.258065 ,1.07817e-07
0.0322581 ,0.290323 ,2.45171e-07
0.0322581 ,0.322581 ,4.99237e-07
0.0322581 ,0.354839 ,9.11324e-07
0.0322581 ,0.387097 ,1.49281e-06
0.0322581 ,0.419355 ,2.19635e-06
0.0322581 ,0.451613 ,2.90496e-06
0.0322581 ,0.483871 ,3.45683e-06
0.0322581 ,0.516129 ,3.70384e-06
0.0322581 ,0.548387 ,3.57597e-06
0.0322581 ,0.580645 ,3.11332e-06
0.0322581 ,0.612903 ,2.44602e-06
0.0322581 ,0.645161 ,1.73549e-06
0.0322581 ,0.677419 ,1.11283e-06
0.0322581 ,0.709677 ,6.45366e-07
0.0322581 ,0.741935 ,3.38758e-07
0.0322581 ,0.774194 ,1.61074e-07
0.0322581 ,0.806452 ,6.94333e-08
0.0322581 ,0.83871 ,2.71576e-08
0.0322581 ,0.870968 ,9.64713e-09
0.0322581 ,0.903226 ,3.11211e-09
0.0322581 ,0.935484 ,9.34823e-10
0.0322581 ,0.967742 ,3.15062e-10
0.0322581 ,1 ,2.58493e-11
0.0645161 ,0 ,2.47949e-11
0.0645161 ,0.0322581 ,7.08989e-11
0.0645161 ,0.0645161 ,3.60668e-10
0.0645161 ,0.0967742 ,1.64353e-09
0.0645161 ,0.129032 ,6.63841e-09
0.0645161 ,0.16129 ,2.382e-08
0.0645161 ,0.193548 ,7.60838e-08
0.0645161 ,0.225806 ,2.1671e-07
0.0645161 ,0.258065 ,5.51279e-07
0.0645161 ,0.290323 ,1.25419e-06
0.0645161 ,0.322581 ,2.55498e-06
0.0645161 ,0.354839 ,4.66575e-06
0.0645161 ,0.387097 ,7.64548e-06
0.0645161 ,0.419355 ,1.12523e-05
0.0645161 ,0.451613 ,1.48872e-05
0.0645161 ,0.483871 ,1.77204e-05
0.0645161 ,0.516129 ,1.89918e-05
0.0645161 ,0.548387 ,1.8341e-05
0.0645161 ,0.580645 ,1.59721e-05
0.0645161 ,0.612903 ,1.25519e-05
0.0645161 ,0.645161 ,8.90797e-06
0.0645161 ,0.677419 ,5.71339e-06
0.0645161 ,0.709677 ,3.31423e-06
0.0645161 ,0.741935 ,1.74011e-06
0.0645161 ,0.774194 ,8.27611e-07
0.0645161 ,0.806452 ,3.5685e-07
0.0645161 ,0.83871 ,1.39614e-07
0.0645161 ,0.870968 ,4.96089e-08
0.0645161 ,0.903226 ,1.60066e-08
0.0645161 ,0.935484 ,4.82613e-09
0.0645161 ,0.967742 ,1.35233e-09
0.0645161 ,1 ,1.17317e-10
0.0967742 ,0 ,1.07443e-10
0.0967742 ,0.0322581 ,3.22666e-10
0.0967742 ,0.0645161 ,1.64353e-09
0.0967742 ,0.0967742 ,7.48925e-09
0.0967742 ,0.129032 ,3.02492e-08
0.0967742 ,0.16129 ,1.08538e-07
0.0967742 ,0.193548 ,3.46673e-07
0.0967742 ,0.225806 ,9.87408e-07
0.0967742 ,0.258065 ,2.51178e-06
0.0967742 ,0.290323 ,5.71433e-06
0.0967742 ,0.322581 ,1.16408e-05
0.0967742 ,0.354839 ,2.12573e-05
0.0967742 ,0.387097 ,3.48325e-05
0.0967742 ,0.419355 ,5.12645e-05
0.0967742 ,0.451613 ,6.78236e-05
0.0967742 ,0.483871 ,8.07301e-05
0.0967742 ,0.516129 ,8.65212e-05
0.0967742 ,0.548387 ,8.35549e-05
0.0967742 ,0.580645 ,7.27624e-05
0.0967742 ,0.612903 ,5.71803e-05
0.0967742 ,0.645161 ,4.05798e-05
0.0967742 ,0.677419 ,2.60267e-05
0.0967742 ,0.709677 ,1.50973e-05
0.0967742 ,0.741935 ,7.92663e-06
0.0967742 ,0.774194 ,3.7699e-06
0.0967742 ,0.806452 ,1.62548e-06
0.0967742 ,0.83871 ,6.35939e-07
0.0967742 ,0.870968 ,2.25963e-07
0.0967742 ,0.903226 ,7.2901e-08
0.0967742 ,0.935484 ,2.20386e-08
0.0967742 ,0.967742 ,5.23092e-09
0.0967742 ,1 ,4.76978e-10
0.129032 ,0 ,4.15723e-10
0.129032 ,0.0322581 ,1.30194e-09
0.129032 ,0.0645161 ,6.63841e-09
0.129032 ,0.0967742 ,3.02492e-08
0.129032 ,0.129032 ,1.22172e-07
0.129032 ,0.16129 ,4.38354e-07
0.129032 ,0.193548 ,1.40008e-06
0.129032 ,0.225806 ,3.98765e-06
0.129032 ,0.258065 ,1.01436e-05
0.129032 ,0.290323 ,2.30763e-05
0.129032 ,0.322581 ,4.70081e-05
0.129032 ,0.354839 ,8.58403e-05
0.129032 ,0.387097 ,0.000140657
0.129032 ,0.419355 ,0.000207007
0.129032 ,0.451613 ,0.000273868
0.129032 ,0.483871 ,0.000325979
0.129032 ,0.516129 ,0.000349357
0.129032 ,0.548387 ,0.000337374
0.129032 ,0.580645 ,0.000293792
0.129032 ,0.612903 ,0.000230873
0.129032 ,0.645161 ,0.000163844
0.129032 ,0.677419 ,0.000105083
0.129032 ,0.709677 ,6.09545e-05
0.129032 ,0.741935 ,3.20027e-05
0.129032 ,0.774194 ,1.52202e-05
0.129032 ,0.806452 ,6.56239e-06
0.129032 ,0.83871 ,2.56736e-06
0.129032 ,0.870968 ,9.12222e-07
0.129032 ,0.903226 ,2.94278e-07
0.129032 ,0.935484 ,8.91499e-08
0.129032 ,0.967742 ,1.8234e-08
0.129032 ,1 ,1.74099e-09
0.16129 ,0 ,1.43754e-09
0.16129 ,0.0322581 ,4.66756e-09
0.16129 ,0.0645161 ,2.382e-08
0.16129 ,0.0967742 ,1.08538e-07
0.16129 ,0.129032 ,4.38354e-07
0.16129 ,0.16129 ,1.57277e-06
0.16129 ,0.193548 ,5.02319e-06
0.16129 ,0.225806 ,1.43065e-05
0.16129 ,0.258065 ,3.63914e-05
0.16129 ,0.290323 ,8.27876e-05
0.16129 ,0.322581 ,0.000168641
0.16129 ,0.354839 ,0.000307947
0.16129 ,0.387097 ,0.000504589
0.16129 ,0.419355 ,0.0007426
0.16129 ,0.451613 ,0.00098244
0.16129 ,0.483871 ,0.00116936
0.16129 ,0.516129 ,0.0012532
0.16129 ,0.548387 ,0.0012102
0.16129 ,0.580645 ,0.00105386
0.16129 ,0.612903 ,0.000828148
0.16129 ,0.645161 ,0.000587704
0.16129 ,0.677419 ,0.000376924
0.16129 ,0.709677 ,0.000218636
0.16129 ,0.741935 ,0.000114788
0.16129 ,0.774194 ,5.4591e-05
0.16129 ,0.806452 ,2.35373e-05
0.16129 ,0.83871 ,9.20816e-06
0.16129 ,0.870968 ,3.27173e-06
0.16129 ,0.903226 ,1.05537e-06
