x dist ,y dist ,func value
0 ,0 ,1.50018e-12
0 ,0.0322581 ,6.33995e-12
0 ,0.0645161 ,3.0535e-11
0 ,0.0967742 ,1.31498e-10
0 ,0.129032 ,5.05578e-10
0 ,0.16129 ,1.73723e-09
0 ,0.193548 ,5.34015e-09
0 ,0.225806 ,1.46986e-08
0 ,0.258065 ,3.62569e-08
0 ,0.290323 ,8.02119e-08
0 ,0.322581 ,1.59272e-07
0 ,0.354839 ,2.84045e-07
0 ,0.387097 ,4.55267e-07
0 ,0.419355 ,6.56205e-07
0 ,0.451613 ,8.51067e-07
0 ,0.483871 ,9.93767e-07
0 ,0.516129 ,1.0453e-06
0 ,0.548387 ,9.91e-07
0 ,0.580645 ,8.47255e-07
0 ,0.612903 ,6.53584e-07
0 ,0.645161 ,4.55173e-07
0 ,0.677419 ,2.86342e-07
0 ,0.709677 ,1.62811e-07
0 ,0.741935 ,8.37218e-08
0 ,0.774194 ,3.89606e-08
0 ,0.806452 ,1.64187e-08
0 ,0.83871 ,6.27026e-09
0 ,0.870968 ,2.17172e-09
0 ,0.903226 ,6.82254e-10
0 ,0.935484 ,1.98444e-10
0 ,0.967742 ,0
0 ,1 ,4.34228e-12
0.0322581 ,0 ,6.33995e-12
0.0322581 ,0.0322581 ,2.46357e-11
0.0322581 ,0.0645161 ,1.21931e-10
0.0322581 ,0.0967742 ,5.38084e-10
0.0322581 ,0.129032 ,2.11243e-09
0.0322581 ,0.16129 ,7.39028e-09
0.0322581 ,0.193548 ,2.30756e-08
0.0322581 ,0.225806 ,6.43931e-08
0.0322581 ,0.258065 ,1.60783e-07
0.0322581 ,0.290323 ,3.59598e-07
0.0322581 ,0.322581 ,7.21089e-07
0.0322581 ,0.354839 ,1.29758e-06
0.0322581 ,0.387097 ,2.09705e-06
0.0322581 ,0.419355 ,3.04602e-06
0.0322581 ,0.451613 ,3.97938e-06
0.0322581 ,0.483871 ,4.67894e-06
0.0322581 ,0.516129 ,4.9546e-06
0.0322581 ,0.548387 ,4.72793e-06
0.0322581 ,0.580645 ,4.06818e-06
0.0322581 ,0.612903 ,3.15837e-06
0.0322581 ,0.645161 ,2.21374e-06
0.0322581 ,0.677419 ,1.40171e-06
0.0322581 ,0.709677 ,8.02295e-07
0.0322581 ,0.741935 ,4.15374e-07
0.0322581 ,0.774194 ,1.94655e-07
0.0322581 ,0.806452 ,8.26269e-08
0.0322581 ,0.83871 ,3.17926e-08
0.0322581 ,0.870968 ,1.10975e-08
0.0322581 ,0.903226 ,3.51422e-09
0.0322581 ,0.935484 ,1.03326e-09
0.0322581 ,0.967742 ,0
0.0322581 ,1 ,2.3193e-11
0.0645161 ,0 ,3.0535e-11
0.0645161 ,0.0322581 ,1.21931e-10
0.0645161 ,0.0645161 ,6.04006e-10
0.0645161 ,0.0967742 ,2.66646e-09
0.0645161 ,0.129032 ,1.04712e-08
0.0645161 ,0.16129 ,3.66427e-08
0.0645161 ,0.193548 ,1.14439e-07
0.0645161 ,0.225806 ,3.19407e-07
0.0645161 ,0.258065 ,7.97659e-07
0.0645161 ,0.290323 ,1.78426e-06
0.0645161 ,0.322581 ,3.57839e-06
0.0645161 ,0.354839 ,6.44001e-06
0.0645161 ,0.387097 ,1.04089e-05
0.0645161 ,0.419355 ,1.51208e-05
0.0645161 ,0.451613 ,1.9756e-05
0.0645161 ,0.483871 ,2.32312e-05
0.0645161 ,0.516129 ,2.4602e-05
0.0645161 ,0.548387 ,2.34784e-05
0.0645161 ,0.580645 ,2.02039e-05
0.0645161 ,0.612903 ,1.56867e-05
0.0645161 ,0.645161 ,1.09959e-05
0.0645161 ,0.677419 ,6.96302e-06
0.0645161 ,0.709677 ,3.98575e-06
0.0645161 ,0.741935 ,2.06372e-06
0.0645161 ,0.774194 ,9.672e-07
0.0645161 ,0.806452 ,4.10592e-07
0.0645161 ,0.83871 ,1.57999e-07
0.0645161 ,0.870968 ,5.51562e-08
0.0645161 ,0.903226 ,1.7467e-08
0.0645161 ,0.935484 ,5.14778e-09
0.0645161 ,0.967742 ,0
0.0645161 ,1 ,1.04152e-10
0.0967742 ,0 ,1.31498e-10
0.0967742 ,0.0322581 ,5.38084e-10
0.0967742 ,0.0645161 ,2.66646e-09
0.0967742 ,0.0967742 ,1.17711e-08
0.0967742 ,0.129032 ,4.62241e-08
0.0967742 ,0.16129 ,1.61751e-07
0.0967742 ,0.193548 ,5.05155e-07
0.0967742 ,0.225806 ,1.40989e-06
0.0967742 ,0.258065 ,3.52087e-06
0.0967742 ,0.290323 ,7.8756e-06
0.0967742 ,0.322581 ,1.57945e-05
0.0967742 ,0.354839 ,2.84248e-05
0.0967742 ,0.387097 ,4.59422e-05
0.0967742 ,0.419355 ,6.67383e-05
0.0967742 ,0.451613 ,8.71954e-05
0.0967742 ,0.483871 ,0.000102532
0.0967742 ,0.516129 ,0.000108581
0.0967742 ,0.548387 ,0.000103621
0.0967742 ,0.580645 ,8.91674e-05
0.0967742 ,0.612903 ,6.92307e-05
0.0967742 ,0.645161 ,4.85278e-05
0.0967742 ,0.677419 ,3.07293e-05
0.0967742 ,0.709677 ,1.75897e-05
0.0967742 ,0.741935 ,9.10739e-06
0.0967742 ,0.774194 ,4.26827e-06
0.0967742 ,0.806452 ,1.81192e-06
0.0967742 ,0.83871 ,6.97228e-07
0.0967742 ,0.870968 ,2.43392e-07
0.0967742 ,0.903226 ,7.70732e-08
0.0967742 ,0.935484 ,2.27549e-08
0.0967742 ,0.967742 ,0
0.0967742 ,1 ,4.19545e-10
