x dist ,y dist ,func value
0 ,0 ,1.20966e-11
0 ,0.0322581 ,5.81846e-11
0 ,0.0645161 ,2.51377e-10
0 ,0.0967742 ,9.78134e-10
0 ,0.129032 ,3.42812e-09
0 ,0.16129 ,1.08225e-08
0 ,0.193548 ,3.07773e-08
0 ,0.225806 ,7.8848e-08
0 ,0.258065 ,1.81982e-07
0 ,0.290323 ,3.7841e-07
0 ,0.322581 ,7.08938e-07
0 ,0.354839 ,1.1967e-06
0 ,0.387097 ,1.82014e-06
0 ,0.419355 ,2.4945e-06
0 ,0.451613 ,3.08061e-06
0 ,0.483871 ,3.42829e-06
0 ,0.516129 ,3.4381e-06
0 ,0.548387 ,3.10723e-06
0 ,0.580645 ,2.5308e-06
0 ,0.612903 ,1.85773e-06
0 ,0.645161 ,1.22903e-06
0 ,0.677419 ,7.32848e-07
0 ,0.709677 ,3.93867e-07
0 ,0.741935 ,1.90804e-07
0 ,0.774194 ,8.33189e-08
0 ,0.806452 ,3.27971e-08
0 ,0.83871 ,1.16382e-08
0 ,0.870968 ,3.72314e-09
0 ,0.903226 ,1.07382e-09
0 ,0.935484 ,2.79687e-10
0 ,0.967742 ,0
0 ,1 ,2.95221e-13
0.0322581 ,0 ,5.81846e-11
0.0322581 ,0.0322581 ,2.79867e-10
0.0322581 ,0.0645161 ,1.20912e-09
0.0322581 ,0.0967742 ,4.70479e-09
0.0322581 ,0.129032 ,1.64891e-08
0.0322581 ,0.16129 ,5.20555e-08
0.0322581 ,0.193548 ,1.48037e-07
0.0322581 ,0.225806 ,3.79254e-07
0.0322581 ,0.258065 ,8.75322e-07
0.0322581 ,0.290323 ,1.82012e-06
0.0322581 ,0.322581 ,3.40994e-06
0.0322581 ,0.354839 ,5.75602e-06
0.0322581 ,0.387097 ,8.75472e-06
0.0322581 ,0.419355 ,1.19983e-05
0.0322581 ,0.451613 ,1.48175e-05
0.0322581 ,0.483871 ,1.64898e-05
0.0322581 ,0.516129 ,1.65369e-05
0.0322581 ,0.548387 ,1.49455e-05
0.0322581 ,0.580645 ,1.21729e-05
0.0322581 ,0.612903 ,8.93549e-06
0.0322581 ,0.645161 ,5.91151e-06
0.0322581 ,0.677419 ,3.52492e-06
0.0322581 ,0.709677 ,1.89446e-06
0.0322581 ,0.741935 ,9.17745e-07
0.0322581 ,0.774194 ,4.00754e-07
0.0322581 ,0.806452 ,1.5775e-07
0.0322581 ,0.83871 ,5.5978e-08
0.0322581 ,0.870968 ,1.79078e-08
0.0322581 ,0.903226 ,5.16494e-09
0.0322581 ,0.935484 ,1.34526e-09
0.0322581 ,0.967742 ,0
0.0322581 ,1 ,1.40869e-12
0.0645161 ,0 ,2.51377e-10
0.0645161 ,0.0322581 ,1.20912e-09
0.0645161 ,0.0645161 ,5.22377e-09
0.0645161 ,0.0967742 ,2.03262e-08
0.0645161 ,0.129032 ,7.12382e-08
0.0645161 ,0.16129 ,2.24896e-07
0.0645161 ,0.193548 ,6.39565e-07
0.0645161 ,0.225806 ,1.63849e-06
0.0645161 ,0.258065 ,3.78165e-06
0.0645161 ,0.290323 ,7.86347e-06
0.0645161 ,0.322581 ,1.47319e-05
0.0645161 ,0.354839 ,2.48677e-05
