x dist ,y dist ,func value
0 ,0 ,0.00967173
0 ,0.111111 ,-0.0115124
0 ,0.222222 ,-0.0146199
0 ,0.333333 ,0.0464987
0 ,0.444444 ,0.00681159
0 ,0.555556 ,-0.0630073
0 ,0.666667 ,-0.0870997
0 ,0.777778 ,0.132373
0 ,0.888889 ,0
0 ,1 ,-0.00254882
0.111111 ,0 ,-0.0115124
0.111111 ,0.111111 ,-0.00589007
0.111111 ,0.222222 ,0.0461033
0.111111 ,0.333333 ,-0.023486
0.111111 ,0.444444 ,-0.0791903
0.111111 ,0.555556 ,-0.00248548
0.111111 ,0.666667 ,0.19079
0.111111 ,0.777778 ,-0.0114327
0.111111 ,0.888889 ,0
0.111111 ,1 ,0.00687452
0.222222 ,0 ,-0.0146199
0.222222 ,0.111111 ,0.0461033
0.222222 ,0.222222 ,-0.0175355
0.222222 ,0.333333 ,-0.113321
0.222222 ,0.444444 ,0.0786519
0.222222 ,0.555556 ,0.207912
0.222222 ,0.666667 ,0.00231938
0.222222 ,0.777778 ,-0.374737
0.222222 ,0.888889 ,0
0.222222 ,1 ,-0.00285109
0.333333 ,0 ,0.0464987
0.333333 ,0.111111 ,-0.023486
0.333333 ,0.222222 ,-0.113321
0.333333 ,0.333333 ,0.162746
0.333333 ,0.444444 ,0.141859
0.333333 ,0.555556 ,-0.16636
0.333333 ,0.666667 ,-0.526801
0.333333 ,0.777778 ,0.406474
0.333333 ,0.888889 ,0
0.333333 ,1 ,-0.0179833
0.444444 ,0 ,0.00681159
0.444444 ,0.111111 ,-0.0791903
0.444444 ,0.222222 ,0.0786519
0.444444 ,0.333333 ,0.141859
0.444444 ,0.444444 ,-0.17356
0.444444 ,0.555556 ,-0.336942
0.444444 ,0.666667 ,0.22299
0.444444 ,0.777778 ,0.424784
0.444444 ,0.888889 ,0
0.444444 ,1 ,0.0168042
0.555556 ,0 ,-0.0630073
0.555556 ,0.111111 ,-0.00248548
0.555556 ,0.222222 ,0.207912
0.555556 ,0.333333 ,-0.16636
0.555556 ,0.444444 ,-0.336942
0.555556 ,0.555556 ,0.100565
0.555556 ,0.666667 ,0.886386
0.555556 ,0.777778 ,-0.244973
0.555556 ,0.888889 ,0
0.555556 ,1 ,0.0304943
0.666667 ,0 ,-0.0870997
0.666667 ,0.111111 ,0.19079
0.666667 ,0.222222 ,0.00231938
0.666667 ,0.333333 ,-0.526801
0.666667 ,0.444444 ,0.22299
0.666667 ,0.555556 ,0.886386
0.666667 ,0.666667 ,0.309678
0.666667 ,0.777778 ,-1.73475
0.666667 ,0.888889 ,0
0.666667 ,1 ,0.00134637
0.777778 ,0 ,0.132373
0.777778 ,0.111111 ,-0.0114327
0.777778 ,0.222222 ,-0.374737
0.777778 ,0.333333 ,0.406474
0.777778 ,0.444444 ,0.424784
0.777778 ,0.555556 ,-0.244973
0.777778 ,0.666667 ,-1.73475
0.777778 ,0.777778 ,1.20834
0.777778 ,0.888889 ,0
0.777778 ,1 ,-0.0738779
0.888889 ,0 ,0
0.888889 ,0.111111 ,0
0.888889 ,0.222222 ,0
0.888889 ,0.333333 ,0
0.888889 ,0.444444 ,0
0.888889 ,0.555556 ,0
0.888889 ,0.666667 ,0
0.888889 ,0.777778 ,0
0.888889 ,0.888889 ,0
0.888889 ,1 ,0
1 ,0 ,-0.00254882
1 ,0.111111 ,0.00687452
1 ,0.222222 ,-0.00285109
1 ,0.333333 ,-0.0179833
1 ,0.444444 ,0.0168042
1 ,0.555556 ,0.0304943
1 ,0.666667 ,0.00134637
1 ,0.777778 ,-0.0738779
1 ,0.888889 ,0
1 ,1 ,9.00088e-05
